date,weekend,value,quarter,month,day
2017-06-27,0,18.463,2,6,27
2017-06-28,0,26.172,2,6,28
2017-06-29,0,14.585,2,6,29
2017-06-30,0,15.902,2,6,30
2017-07-01,1,18.608,3,7,1
2017-07-02,1,11.572,3,7,2
2017-07-03,0,10.888,3,7,3
2017-07-04,0,10.487,3,7,4
2017-07-05,0,18.389,3,7,5
2017-07-06,0,29.238,3,7,6
2017-07-07,0,31.879,3,7,7
2017-07-08,1,9.076,3,7,8
2017-07-09,1,18.501,3,7,9
2017-07-10,0,24.51,3,7,10
2017-07-11,0,17.899,3,7,11
2017-07-12,0,14.476,3,7,12
2017-07-13,0,33.696,3,7,13
2017-07-14,0,32.13,3,7,14
2017-07-15,1,24.697,3,7,15
2017-07-16,1,32.693,3,7,16
2017-07-17,0,26.897,3,7,17
2017-07-18,0,30.087,3,7,18
2017-07-19,0,35.26,3,7,19
2017-07-20,0,36.923,3,7,20
2017-07-21,0,23.649,3,7,21
2017-07-22,1,15.838,3,7,22
2017-07-23,1,16.967,3,7,23
2017-07-24,0,16.727,3,7,24
2017-07-25,0,15.949,3,7,25
2017-07-26,0,17.133,3,7,26
2017-07-27,0,19.411,3,7,27
2017-07-28,0,22.399,3,7,28
2017-07-29,1,22.195,3,7,29
2017-07-30,1,19.675,3,7,30
2017-07-31,0,16.53,3,7,31
2017-08-01,0,15.666,3,8,1
2017-08-02,0,15.685,3,8,2
2017-08-03,0,8.433,3,8,3
2017-08-04,0,10.773,3,8,4
2017-08-05,1,18.188,3,8,5
2017-08-06,1,26.397,3,8,6
2017-08-07,0,40.564,3,8,7
2017-08-08,0,9.229,3,8,8
2017-08-09,0,19.341,3,8,9
2017-08-10,0,44.179,3,8,10
2017-08-11,0,10.656,3,8,11
2017-08-12,1,13.934,3,8,12
2017-08-13,1,31.378,3,8,13
2017-08-14,0,34.663000000000004,3,8,14
2017-08-15,0,32.002,3,8,15
2017-08-16,0,34.792,3,8,16
2017-08-17,0,35.281,3,8,17
